Year,Month,Neighborhood,Rainfall_In,SVI,Canopy_Pct,Depth_m,Property_Loss_USD
2006,3,Elyria-Swansea,1.31,0.94,8,0.7,34757.5
2006,3,Five Points,3.13,0.82,12,1.33,66584.3
2006,3,Cherry Creek,1.18,0.1,28,0.31,62559.62
2006,4,Five Points,0.87,0.82,12,0.43,21466.25
2006,4,Montbello,1.33,0.75,15,0.38,19067.46
2006,4,Cherry Creek,0.2,0.1,28,0.0,0.0
2006,4,Elyria-Swansea,0.4,0.94,8,0.33,16451.2
2006,4,Cherry Creek,2.51,0.1,28,0.85,169176.41
2006,4,Montbello,3.21,0.75,15,1.13,56633.71
2006,4,Washington Park,1.05,0.15,35,0.16,31824.8
2006,4,Cherry Creek,0.4,0.1,28,0.0,0.0
2006,4,Elyria-Swansea,0.28,0.94,8,0.28,14073.57
2006,4,Montbello,0.16,0.75,15,0.0,0.0
2006,4,Washington Park,0.72,0.15,35,0.03,5746.26
2006,4,Five Points,0.17,0.82,12,0.15,7472.03
2006,4,Washington Park,0.67,0.15,35,0.01,1235.08
2006,4,Cherry Creek,0.88,0.1,28,0.19,38392.75
2006,4,Five Points,0.93,0.82,12,0.45,22632.1
2006,4,Cherry Creek,2.08,0.1,28,0.67,134756.36
2006,4,Washington Park,0.81,0.15,35,0.07,13186.8
2006,4,Five Points,2.46,0.82,12,1.06,53185.41
2006,4,Washington Park,2.67,0.15,35,0.81,161797.19
2006,4,Five Points,1.67,0.82,12,0.75,37498.2
2006,4,Five Points,0.66,0.82,12,0.34,17171.5
2006,5,Washington Park,1.6,0.15,35,0.38,75663.18
2006,5,Washington Park,2.56,0.15,35,0.76,152693.05
2006,5,Montbello,2.88,0.75,15,1.0,50126.19
2006,5,Cherry Creek,3.08,0.1,28,1.07,214523.76
2006,5,Cherry Creek,2.68,0.1,28,0.91,182699.87
2006,5,Montbello,2.06,0.75,15,0.67,33737.45
2006,5,Five Points,3.71,0.82,12,1.56,78170.11
2006,5,Cherry Creek,3.18,0.1,28,1.11,222556.95
2006,5,Washington Park,3.18,0.15,35,1.01,202484.28
2006,5,Cherry Creek,0.54,0.1,28,0.06,11363.85
2006,5,Montbello,0.83,0.75,15,0.18,9127.98
2006,5,Elyria-Swansea,4.76,0.94,8,2.07,103733.42
2006,5,Montbello,2.02,0.75,15,0.66,32858.75
2006,5,Washington Park,1.76,0.15,35,0.44,88720.84
2006,5,Cherry Creek,3.26,0.1,28,1.14,228929.61
2006,5,Montbello,4.44,0.75,15,1.63,81349.81
2006,5,Elyria-Swansea,1.94,0.94,8,0.95,47379.44
2006,5,Elyria-Swansea,4.84,0.94,8,2.11,105277.87
2006,5,Elyria-Swansea,1.47,0.94,8,0.76,37809.09
2006,5,Cherry Creek,11.54,0.1,28,4.46,891414.26
2006,5,Elyria-Swansea,12.32,0.94,8,5.1,254973.53
2006,6,Montbello,0.64,0.75,15,0.11,5329.03
2006,6,Cherry Creek,6.63,0.1,28,2.49,498497.36
2006,6,Washington Park,3.42,0.15,35,1.11,221304.27
2006,6,Elyria-Swansea,7.33,0.94,8,3.1,155144.43
2006,6,Five Points,1.66,0.82,12,0.74,37156.89
2006,6,Elyria-Swansea,4.3,0.94,8,1.89,94423.95
2006,6,Five Points,1.17,0.82,12,0.55,27429.4
2006,6,Elyria-Swansea,11.03,0.94,8,4.58,229055.61
2006,6,Elyria-Swansea,2.2,0.94,8,1.05,52468.48
2006,6,Cherry Creek,1.24,0.1,28,0.33,66886.66
2006,6,Five Points,1.75,0.82,12,0.78,38918.61
2006,6,Five Points,1.76,0.82,12,0.79,39273.87
2006,6,Elyria-Swansea,2.12,0.94,8,1.02,50915.44
2006,6,Five Points,1.5,0.82,12,0.68,33982.9
2006,6,Washington Park,0.61,0.15,35,0.0,0.0
2006,6,Cherry Creek,1.38,0.1,28,0.39,78032.91
2006,6,Five Points,3.01,0.82,12,1.28,64172.96
2006,6,Washington Park,6.62,0.15,35,2.39,477679.45
2006,6,Montbello,2.57,0.75,15,0.88,43890.9
2006,6,Montbello,5.37,0.75,15,2.0,99950.15
2006,6,Five Points,0.69,0.82,12,0.36,17759.51
2006,7,Elyria-Swansea,0.33,0.94,8,0.3,15057.53
2006,7,Montbello,0.46,0.75,15,0.03,1644.31
2006,7,Washington Park,0.35,0.15,35,0.0,0.0
2006,7,Elyria-Swansea,0.29,0.94,8,0.29,14251.43
2006,7,Montbello,1.98,0.75,15,0.64,32113.0
2006,7,Washington Park,2.0,0.15,35,0.54,107855.88
2006,7,Five Points,1.11,0.82,12,0.52,26190.85
2006,7,Montbello,0.49,0.75,15,0.05,2327.63
2006,7,Montbello,0.47,0.75,15,0.04,1999.95
2006,7,Washington Park,0.23,0.15,35,0.0,0.0
2006,7,Five Points,0.42,0.82,12,0.25,12475.88
2006,7,Montbello,1.98,0.75,15,0.64,32176.52
2006,7,Cherry Creek,0.4,0.1,28,0.0,0.0
2006,7,Elyria-Swansea,0.99,0.94,8,0.56,28210.09
2006,7,Washington Park,2.52,0.15,35,0.75,149590.11
2006,7,Cherry Creek,1.8,0.1,28,0.56,111860.24
2006,7,Five Points,0.89,0.82,12,0.44,21894.67
2006,7,Montbello,0.19,0.75,15,0.0,0.0
2006,7,Elyria-Swansea,0.36,0.94,8,0.32,15781.76
2006,7,Five Points,0.49,0.82,12,0.28,13869.31
2006,7,Montbello,0.61,0.75,15,0.09,4733.62
2006,8,Five Points,0.85,0.82,12,0.42,21006.54
2006,8,Cherry Creek,1.31,0.1,28,0.36,72433.5
2006,8,Elyria-Swansea,2.16,0.94,8,1.03,51647.27
2006,8,Washington Park,0.56,0.15,35,0.0,0.0
2006,8,Elyria-Swansea,2.25,0.94,8,1.07,53584.77
2006,8,Montbello,3.26,0.75,15,1.15,57686.75
2006,8,Montbello,0.23,0.75,15,0.0,0.0
2006,8,Elyria-Swansea,0.34,0.94,8,0.3,15215.37
2006,8,Cherry Creek,0.42,0.1,28,0.01,1711.63
2006,8,Washington Park,1.09,0.15,35,0.18,35112.38
2006,8,Elyria-Swansea,0.65,0.94,8,0.43,21407.77
2006,8,Montbello,0.31,0.75,15,0.0,0.0
2006,8,Washington Park,0.36,0.15,35,0.0,0.0
2006,8,Cherry Creek,1.06,0.1,28,0.27,53018.14
2006,8,Five Points,0.46,0.82,12,0.27,13254.07
2006,8,Five Points,0.6,0.82,12,0.32,15906.0
2006,8,Elyria-Swansea,0.97,0.94,8,0.56,27999.39
2006,8,Elyria-Swansea,0.25,0.94,8,0.27,13518.6
2006,8,Washington Park,1.08,0.15,35,0.17,34210.56
2006,8,Elyria-Swansea,0.47,0.94,8,0.36,17893.02
2006,8,Elyria-Swansea,0.34,0.94,8,0.31,15258.48
2006,9,Montbello,1.75,0.75,15,0.55,27554.83
2006,9,Cherry Creek,1.46,0.1,28,0.43,85064.95
2006,9,Five Points,0.39,0.82,12,0.24,11873.44
2006,9,Elyria-Swansea,0.7,0.94,8,0.45,22519.03
2006,9,Elyria-Swansea,1.65,0.94,8,0.83,41422.99
2006,9,Washington Park,0.83,0.15,35,0.07,14301.85
2006,9,Washington Park,0.53,0.15,35,0.0,0.0
2006,9,Montbello,0.79,0.75,15,0.17,8331.03
2006,9,Elyria-Swansea,1.51,0.94,8,0.77,38721.61
2006,9,Montbello,1.55,0.75,15,0.47,23441.42
2006,9,Washington Park,0.58,0.15,35,0.0,0.0
2006,9,Five Points,0.68,0.82,12,0.35,17527.24
2006,9,Five Points,1.24,0.82,12,0.58,28840.69
2006,9,Elyria-Swansea,0.93,0.94,8,0.54,27106.15
2006,9,Cherry Creek,2.11,0.1,28,0.68,136584.52
2006,9,Elyria-Swansea,0.15,0.94,8,0.23,11446.7
2006,9,Montbello,2.27,0.75,15,0.76,37977.48
2006,9,Five Points,1.45,0.82,12,0.66,32918.59
2006,9,Montbello,0.85,0.75,15,0.19,9411.63
2006,9,Cherry Creek,1.48,0.1,28,0.43,86162.17
2006,9,Elyria-Swansea,0.17,0.94,8,0.24,11891.25
2006,10,Elyria-Swansea,2.41,0.94,8,1.13,56685.64
2006,10,Montbello,0.17,0.75,15,0.0,0.0
2006,10,Five Points,0.77,0.82,12,0.39,19372.07
2006,10,Five Points,0.15,0.82,12,0.14,7025.17
2006,10,Five Points,0.24,0.82,12,0.18,8852.83
2006,10,Montbello,0.87,0.75,15,0.2,9919.43
2006,10,Washington Park,2.01,0.15,35,0.55,109007.18
2006,10,Montbello,1.12,0.75,15,0.3,14920.57
2006,10,Montbello,0.22,0.75,15,0.0,0.0
2006,10,Elyria-Swansea,1.9,0.94,8,0.93,46517.86
2006,10,Five Points,0.62,0.82,12,0.33,16425.95
2006,10,Five Points,0.82,0.82,12,0.41,20472.53
2006,10,Montbello,0.63,0.75,15,0.1,5053.64
2006,10,Five Points,0.31,0.82,12,0.21,10260.16
2006,10,Five Points,0.22,0.82,12,0.17,8368.53
2006,10,Cherry Creek,0.37,0.1,28,0.0,0.0
2006,10,Elyria-Swansea,0.63,0.94,8,0.42,21157.15
2006,10,Washington Park,1.3,0.15,35,0.26,52106.15
2006,10,Montbello,1.56,0.75,15,0.47,23677.79
2006,10,Washington Park,0.69,0.15,35,0.01,2887.59
2006,10,Five Points,1.21,0.82,12,0.56,28154.79
2006,11,Cherry Creek,1.2,0.1,28,0.32,63856.21
2006,11,Cherry Creek,0.64,0.1,28,0.09,18822.35
2006,11,Five Points,2.16,0.82,12,0.94,47103.98
2006,11,Elyria-Swansea,0.39,0.94,8,0.33,16335.19
2006,11,Washington Park,0.81,0.15,35,0.06,12850.98
2006,11,Elyria-Swansea,2.35,0.94,8,1.11,55583.08
2006,11,Washington Park,0.42,0.15,35,0.0,0.0
2006,11,Elyria-Swansea,0.99,0.94,8,0.56,28214.84
2006,11,Cherry Creek,0.66,0.1,28,0.11,21196.85
2006,11,Montbello,0.22,0.75,15,0.0,0.0
2006,11,Montbello,0.54,0.75,15,0.07,3382.94
2006,11,Montbello,0.08,0.75,15,0.0,0.0
2006,11,Five Points,1.61,0.82,12,0.73,36298.23
2006,11,Elyria-Swansea,0.27,0.94,8,0.28,13802.59
2006,11,Cherry Creek,1.6,0.1,28,0.48,96018.78
2006,11,Five Points,0.46,0.82,12,0.26,13129.41
2006,11,Montbello,1.18,0.75,15,0.32,16122.66
2006,11,Elyria-Swansea,0.11,0.94,8,0.21,10698.73
2006,11,Elyria-Swansea,1.3,0.94,8,0.69,34578.57
2006,11,Five Points,1.77,0.82,12,0.79,39395.58
2006,11,Elyria-Swansea,2.36,0.94,8,1.11,55713.27
2006,12,Elyria-Swansea,0.24,0.94,8,0.27,13265.32
2006,12,Cherry Creek,0.4,0.1,28,0.0,0.0
2006,12,Five Points,0.19,0.82,12,0.16,7858.21
2006,12,Washington Park,0.58,0.15,35,0.0,0.0
2006,12,Five Points,1.09,0.82,12,0.52,25871.81
2006,12,Montbello,0.95,0.75,15,0.23,11491.19
2006,12,Five Points,1.09,0.82,12,0.52,25832.78
2006,12,Five Points,2.78,0.82,12,1.19,59556.13
2006,12,Washington Park,0.37,0.15,35,0.0,0.0
2006,12,Cherry Creek,1.92,0.1,28,0.61,121451.34
2006,12,Five Points,0.25,0.82,12,0.18,8951.47
2006,12,Washington Park,2.2,0.15,35,0.62,123675.48
2006,12,Elyria-Swansea,0.58,0.94,8,0.4,20090.26
2006,12,Elyria-Swansea,0.88,0.94,8,0.52,26092.37
2006,12,Five Points,1.7,0.82,12,0.76,38048.58
2006,12,Montbello,0.33,0.75,15,0.0,0.0
2006,12,Washington Park,1.4,0.15,35,0.3,60119.26
2006,12,Cherry Creek,1.54,0.1,28,0.46,91241.81
2006,12,Cherry Creek,0.95,0.1,28,0.22,43665.36
2006,12,Elyria-Swansea,0.72,0.94,8,0.46,22963.1
2006,12,Five Points,0.33,0.82,12,0.21,10586.1
2007,1,Five Points,0.35,0.82,12,0.22,10908.31
2007,1,Montbello,1.0,0.75,15,0.25,12451.09
2007,1,Cherry Creek,1.97,0.1,28,0.63,125808.86
2007,1,Five Points,0.62,0.82,12,0.33,16499.33
2007,1,Elyria-Swansea,0.34,0.94,8,0.31,15320.1
2007,1,Cherry Creek,0.23,0.1,28,0.0,0.0
2007,1,Five Points,1.09,0.82,12,0.51,25742.03
2007,1,Montbello,0.69,0.75,15,0.13,6255.55
2007,1,Elyria-Swansea,1.98,0.94,8,0.96,48040.6
2007,1,Cherry Creek,0.82,0.1,28,0.17,33333.24
2007,1,Elyria-Swansea,1.77,0.94,8,0.88,43838.93
2007,1,Cherry Creek,0.41,0.1,28,0.0,443.02
2007,1,Washington Park,4.44,0.15,35,1.52,303258.05
2007,1,Elyria-Swansea,1.2,0.94,8,0.65,32410.49
2007,1,Montbello,0.75,0.75,15,0.15,7425.21
2007,1,Five Points,0.59,0.82,12,0.32,15820.71
2007,1,Washington Park,0.9,0.15,35,0.1,19721.72
2007,1,Cherry Creek,0.36,0.1,28,0.0,0.0
2007,1,Montbello,0.73,0.75,15,0.14,7070.98
2007,1,Cherry Creek,0.66,0.1,28,0.1,20820.23
2007,1,Washington Park,0.94,0.15,35,0.12,23246.65
2007,2,Washington Park,0.56,0.15,35,0.0,0.0
2007,2,Cherry Creek,1.3,0.1,28,0.36,72302.26
2007,2,Elyria-Swansea,0.11,0.94,8,0.21,10613.7
2007,2,Five Points,0.46,0.82,12,0.26,13138.76
2007,2,Montbello,0.91,0.75,15,0.21,10620.73
2007,2,Five Points,1.22,0.82,12,0.57,28404.14
2007,2,Elyria-Swansea,1.73,0.94,8,0.86,43186.19
2007,2,Washington Park,0.5,0.15,35,0.0,0.0
2007,2,Montbello,1.26,0.75,15,0.36,17791.37
2007,2,Montbello,0.31,0.75,15,0.0,0.0
2007,2,Elyria-Swansea,0.95,0.94,8,0.55,27521.09
2007,2,Montbello,1.29,0.75,15,0.37,18366.25
2007,2,Montbello,1.45,0.75,15,0.43,21580.1
2007,2,Five Points,1.85,0.82,12,0.82,40916.03
2007,2,Montbello,0.03,0.75,15,0.0,0.0
2007,2,Five Points,0.29,0.82,12,0.19,9736.2
2007,2,Cherry Creek,1.72,0.1,28,0.53,105954.88
2007,2,Elyria-Swansea,0.43,0.94,8,0.34,17011.43
2007,2,Cherry Creek,0.61,0.1,28,0.09,17065.62
2007,2,Washington Park,2.21,0.15,35,0.62,124655.3
2007,2,Elyria-Swansea,2.83,0.94,8,1.3,65044.62
2007,3,Elyria-Swansea,2.18,0.94,8,1.04,52162.0
2007,3,Five Points,0.93,0.82,12,0.45,22647.02
2007,3,Cherry Creek,0.99,0.1,28,0.24,47317.01
2007,3,Washington Park,1.31,0.15,35,0.27,53096.96
2007,3,Montbello,0.69,0.75,15,0.13,6275.45
2007,3,Five Points,1.33,0.82,12,0.61,30672.02
2007,3,Washington Park,0.89,0.15,35,0.1,19289.65
2007,3,Montbello,0.8,0.75,15,0.17,8404.74
2007,3,Elyria-Swansea,0.3,0.94,8,0.29,14534.33
2007,3,Elyria-Swansea,1.12,0.94,8,0.62,30961.82
2007,3,Elyria-Swansea,1.78,0.94,8,0.88,44006.17
2007,3,Five Points,1.23,0.82,12,0.57,28680.7
2007,3,Washington Park,0.24,0.15,35,0.0,0.0
2007,3,Cherry Creek,1.14,0.1,28,0.3,59374.11
2007,3,Montbello,2.14,0.75,15,0.71,35372.07
2007,3,Washington Park,0.23,0.15,35,0.0,0.0
2007,3,Five Points,0.47,0.82,12,0.27,13439.97
2007,3,Washington Park,0.97,0.15,35,0.13,25293.05
2007,3,Montbello,1.41,0.75,15,0.41,20635.38
2007,3,Washington Park,1.59,0.15,35,0.38,75255.55
2007,3,Cherry Creek,0.65,0.1,28,0.1,19977.74
2007,4,Cherry Creek,0.58,0.1,28,0.07,14792.3
2007,4,Elyria-Swansea,0.34,0.94,8,0.31,15267.17
2007,4,Cherry Creek,0.65,0.1,28,0.1,19900.65
2007,4,Elyria-Swansea,0.69,0.94,8,0.45,22347.96
2007,4,Five Points,0.85,0.82,12,0.42,21044.5
2007,4,Five Points,1.9,0.82,12,0.84,42004.46
2007,4,Montbello,0.27,0.75,15,0.0,0.0
2007,4,Elyria-Swansea,1.34,0.94,8,0.71,35376.63
2007,4,Elyria-Swansea,1.68,0.94,8,0.84,42174.67
2007,4,Montbello,1.16,0.75,15,0.31,15730.85
2007,4,Elyria-Swansea,1.6,0.94,8,0.81,40521.0
2007,4,Montbello,0.27,0.75,15,0.0,0.0
2007,4,Washington Park,0.23,0.15,35,0.0,0.0
2007,4,Elyria-Swansea,0.33,0.94,8,0.3,15133.74
2007,4,Washington Park,0.85,0.15,35,0.08,16278.67
2007,4,Elyria-Swansea,1.51,0.94,8,0.78,38780.85
2007,4,Montbello,0.75,0.75,15,0.15,7591.61
2007,4,Five Points,0.51,0.82,12,0.29,14279.02
2007,4,Cherry Creek,0.68,0.1,28,0.11,22770.83
2007,4,Five Points,0.98,0.82,12,0.47,23549.72
2007,4,Elyria-Swansea,0.38,0.94,8,0.32,16191.36
2007,5,Elyria-Swansea,1.18,0.94,8,0.64,32114.92
2007,5,Five Points,3.21,0.82,12,1.36,68107.84
2007,5,Montbello,1.99,0.75,15,0.65,32257.67
2007,5,Cherry Creek,1.67,0.1,28,0.51,101317.59
2007,5,Five Points,3.95,0.82,12,1.66,82978.91
2007,5,Cherry Creek,0.91,0.1,28,0.2,40837.14
2007,5,Montbello,4.4,0.75,15,1.61,80584.1
2007,5,Montbello,8.9,0.75,15,3.41,170597.16
2007,5,Montbello,1.87,0.75,15,0.6,29992.04
2007,5,Five Points,1.97,0.82,12,0.87,43472.23
2007,5,Cherry Creek,2.51,0.1,28,0.84,168701.66
2007,5,Five Points,5.07,0.82,12,2.11,105403.61
2007,5,Washington Park,3.72,0.15,35,1.23,245407.44
2007,5,Montbello,2.74,0.75,15,0.94,47230.87
2007,5,Elyria-Swansea,2.05,0.94,8,0.99,49535.52
2007,5,Washington Park,1.74,0.15,35,0.44,87133.95
2007,5,Cherry Creek,3.26,0.1,28,1.14,228766.2
2007,5,Montbello,1.92,0.75,15,0.62,30806.28
2007,5,Elyria-Swansea,3.57,0.94,8,1.6,79866.44
2007,5,Washington Park,3.33,0.15,35,1.07,214392.22
2007,5,Elyria-Swansea,4.28,0.94,8,1.88,94091.63
2007,6,Elyria-Swansea,0.84,0.94,8,0.51,25257.67
2007,6,Five Points,3.74,0.82,12,1.57,78722.77
2007,6,Elyria-Swansea,6.5,0.94,8,2.77,138434.96
2007,6,Montbello,2.32,0.75,15,0.78,38906.73
2007,6,Montbello,4.27,0.75,15,1.56,77859.81
2007,6,Cherry Creek,3.85,0.1,28,1.38,275952.37
2007,6,Cherry Creek,0.07,0.1,28,0.0,0.0
2007,6,Montbello,0.57,0.75,15,0.08,3909.94
2007,6,Washington Park,0.86,0.15,35,0.08,16538.15
2007,6,Cherry Creek,6.02,0.1,28,2.25,449259.65
2007,6,Montbello,0.85,0.75,15,0.19,9543.94
2007,6,Montbello,4.06,0.75,15,1.48,73799.26
2007,6,Washington Park,3.46,0.15,35,1.13,225146.16
2007,6,Five Points,0.73,0.82,12,0.37,18666.97
2007,6,Montbello,3.62,0.75,15,1.3,64919.58
2007,6,Five Points,3.85,0.82,12,1.62,81021.61
2007,6,Cherry Creek,1.14,0.1,28,0.3,59384.97
2007,6,Washington Park,2.46,0.15,35,0.72,144867.86
2007,6,Montbello,3.89,0.75,15,1.41,70356.85
2007,6,Elyria-Swansea,2.73,0.94,8,1.26,63036.02
2007,6,Five Points,3.05,0.82,12,1.3,65020.85
2007,7,Elyria-Swansea,0.73,0.94,8,0.46,23085.06
2007,7,Washington Park,0.64,0.15,35,0.0,0.0
2007,7,Elyria-Swansea,1.07,0.94,8,0.6,29924.54
2007,7,Five Points,0.53,0.82,12,0.29,14682.42
2007,7,Montbello,4.01,0.75,15,1.46,72767.18
2007,7,Washington Park,1.54,0.15,35,0.36,71557.2
2007,7,Cherry Creek,0.77,0.1,28,0.15,29330.27
2007,7,Washington Park,0.19,0.15,35,0.0,0.0
2007,7,Washington Park,3.05,0.15,35,0.96,191932.3
2007,7,Cherry Creek,0.84,0.1,28,0.17,34892.76
2007,7,Five Points,1.61,0.82,12,0.72,36242.53
2007,7,Washington Park,1.37,0.15,35,0.29,57381.4
2007,7,Elyria-Swansea,0.2,0.94,8,0.25,12484.92
2007,7,Elyria-Swansea,0.78,0.94,8,0.48,24185.67
2007,7,Elyria-Swansea,0.25,0.94,8,0.27,13535.7
2007,7,Washington Park,0.96,0.15,35,0.12,24832.38
2007,7,Five Points,1.66,0.82,12,0.74,37105.17
2007,7,Montbello,0.61,0.75,15,0.1,4795.06
2007,7,Montbello,0.71,0.75,15,0.13,6693.78
2007,7,Cherry Creek,0.6,0.1,28,0.08,15643.89
2007,7,Montbello,0.08,0.75,15,0.0,0.0
2007,8,Five Points,2.34,0.82,12,1.02,50847.6
2007,8,Montbello,0.17,0.75,15,0.0,0.0
2007,8,Elyria-Swansea,1.0,0.94,8,0.57,28437.67
2007,8,Five Points,0.57,0.82,12,0.31,15322.87
2007,8,Washington Park,1.0,0.15,35,0.14,27912.79
2007,8,Cherry Creek,0.87,0.1,28,0.19,37944.07
2007,8,Five Points,0.72,0.82,12,0.37,18402.42
2007,8,Washington Park,0.52,0.15,35,0.0,0.0
2007,8,Elyria-Swansea,0.45,0.94,8,0.35,17549.68
2007,8,Five Points,1.35,0.82,12,0.62,31016.97
2007,8,Five Points,1.62,0.82,12,0.73,36487.23
2007,8,Washington Park,1.95,0.15,35,0.52,104157.14
2007,8,Washington Park,2.13,0.15,35,0.59,118308.79
2007,8,Five Points,0.67,0.82,12,0.35,17420.84
2007,8,Elyria-Swansea,0.56,0.94,8,0.39,19698.11
2007,8,Cherry Creek,2.17,0.1,28,0.71,141949.9
2007,8,Cherry Creek,0.4,0.1,28,0.0,64.36
2007,8,Montbello,0.37,0.75,15,0.0,0.0
2007,8,Montbello,0.9,0.75,15,0.21,10517.63
2007,8,Elyria-Swansea,0.66,0.94,8,0.43,21625.46
2007,8,Montbello,0.71,0.75,15,0.13,6709.1
2007,9,Cherry Creek,1.47,0.1,28,0.43,85711.61
2007,9,Cherry Creek,1.23,0.1,28,0.33,66455.09
2007,9,Cherry Creek,0.9,0.1,28,0.2,40381.26
2007,9,Five Points,0.73,0.82,12,0.37,18528.31
2007,9,Montbello,3.23,0.75,15,1.14,57067.32
2007,9,Cherry Creek,3.14,0.1,28,1.09,218881.72
2007,9,Cherry Creek,1.01,0.1,28,0.25,49190.41
2007,9,Montbello,0.16,0.75,15,0.0,0.0
2007,9,Elyria-Swansea,1.68,0.94,8,0.84,42117.1
2007,9,Cherry Creek,0.47,0.1,28,0.03,5796.06
2007,9,Elyria-Swansea,0.72,0.94,8,0.46,22896.07
2007,9,Washington Park,1.1,0.15,35,0.18,36293.27
2007,9,Washington Park,0.52,0.15,35,0.0,0.0
2007,9,Montbello,1.82,0.75,15,0.58,28994.44
2007,9,Washington Park,0.66,0.15,35,0.0,654.18
2007,9,Montbello,0.57,0.75,15,0.08,3801.47
2007,9,Cherry Creek,1.2,0.1,28,0.32,64233.84
2007,9,Five Points,1.44,0.82,12,0.66,32801.08
2007,9,Montbello,0.61,0.75,15,0.09,4650.79
2007,9,Washington Park,0.32,0.15,35,0.0,0.0
2007,9,Montbello,0.77,0.75,15,0.16,7982.94
2007,10,Five Points,0.64,0.82,12,0.34,16759.4
2007,10,Cherry Creek,0.88,0.1,28,0.19,38588.03
2007,10,Five Points,0.24,0.82,12,0.18,8767.96
2007,10,Washington Park,1.6,0.15,35,0.38,76024.8
2007,10,Five Points,0.39,0.82,12,0.23,11706.98
2007,10,Washington Park,1.18,0.15,35,0.21,42458.28
2007,10,Washington Park,0.79,0.15,35,0.06,11500.16
2007,10,Cherry Creek,0.32,0.1,28,0.0,0.0
2007,10,Cherry Creek,0.81,0.1,28,0.17,33051.39
2007,10,Cherry Creek,0.74,0.1,28,0.14,27166.91
2007,10,Cherry Creek,0.79,0.1,28,0.15,30867.63
2007,10,Washington Park,2.38,0.15,35,0.69,138350.36
